Name,DisplayName,Faction,Archetype,Tier,UnitSize,HpPerModel,MeleeAttack,MeleeDefence,ChargeBonus,Damage,ArmourPiercing,Armour,Morale,SpeedCmS,RangedAttack,RangeCm,Ammo,ModelScale,Cost,Upkeep,Ability,Weapon,Headgear,ColourPrimary,ColourSecondary,MeshHead,MeshTorso,MeshLegs,MeshHat,MeshWeapon,Image,AssetStatus,Notes
SKU_MINERS,Skulkin Miners,SKULKIN,CHAFF,TROOP,32,34,3,2,2,10,0,0,99,420,0,0,0,1.0,310,31,,Pickaxe,None,#E8E3D3,#8B1A1A,,,,,,,todo,Cheapest body on the field. Can dig a tunnel entrance.
SKU_WARRIORS,Skulkin Warriors,SKULKIN,LINE,TROOP,24,51,5,4,4,14,0,2,99,399,0,0,0,1.0,385,38,,Bone Sword,None,#E8E3D3,#8B1A1A,,,,,,,todo,The default Skulkin block. Elemental-coloured armour.
SKU_WATCHMEN,Skulkin Watchmen,SKULKIN,SPEAR,TROOP,24,51,4,6,5,13,6,2,99,378,0,0,0,1.0,430,43,,Bone Spear,Conical,#E8E3D3,#8B1A1A,,,,,,,todo,Anti-large. Holds a line against dragons and giants.
SKU_PITBOSSES,Skulkin Pit Bosses,SKULKIN,HEAVY,TROOP,18,76,7,6,6,20,8,5,99,315,0,0,0,1.1,465,46,,Bone Axe,Helmet,#E8E3D3,#8B1A1A,,,,,,,todo,Overseers. Nearby Skulkin reassemble twice instead of once.
SKU_ENGINEERS,Skulkin Engineers,SKULKIN,SKIRMISH,TROOP,20,42,4,3,3,12,0,1,99,546,4,1100,10,1.0,325,32,,Wrench,Goggles,#E8E3D3,#8B1A1A,,,,,,,todo,Repair vehicles. Throw bone bombs.
SKU_SKULLTRUCK,Skull Truck,SKULKIN,VEHICLE,TROOP,4,340,6,6,14,30,12,7,99,525,0,0,0,2.2,350,35,,Ram,None,#E8E3D3,#8B1A1A,,,,,,,todo,"Chariot. Massive charge, terrible turning circle."
SKU_TREADASSAULT,Turbo Shredder,SKULKIN,VEHICLE,TROOP,4,340,6,6,14,30,12,7,99,525,0,0,0,2.2,350,35,,Saw Blades,None,#E8E3D3,#8B1A1A,,,,,,,todo,Grinds through infantry. Useless against armour.
SER_HYP_SOLDIERS,Hypnobrai Soldiers,SERPENTINE,LINE,TROOP,24,60,5,4,4,14,0,2,52,399,0,0,0,1.0,495,49,,Serpent Blade,None,#3C7A3C,#C8A22A,,,,,,,todo,Blue. Chance to briefly stun on hit.
SER_HYP_SCOUTS,Hypnobrai Scouts,SERPENTINE,SKIRMISH,TROOP,20,50,4,3,3,12,0,1,48,546,4,1100,10,1.0,415,41,,Dagger,None,#3C7A3C,#C8A22A,,,,,,,todo,Reveal hidden units. Fast.
SER_FAN_SOLDIERS,Fangpyre Soldiers,SERPENTINE,LINE,TROOP,24,60,5,4,4,14,0,2,52,399,0,0,0,1.0,495,49,,Fang Blade,None,#3C7A3C,#C8A22A,,,,,,,todo,Red. Killed enemy models have a 25% chance to raise as Fangpyre.
SER_FAN_SCOUTS,Fangpyre Scouts,SERPENTINE,CHAFF,TROOP,32,40,3,2,2,10,0,0,38,420,0,0,0,1.0,400,40,,Fangs,None,#3C7A3C,#C8A22A,,,,,,,todo,"Snappa's lot. Reckless: +2 charge, -10 morale."
SER_CON_WARRIORS,Constrictai Warriors,SERPENTINE,HEAVY,TROOP,18,90,7,6,6,20,8,5,66,315,0,0,0,1.1,595,59,,Bone Club,None,#3C7A3C,#C8A22A,,,,,,,todo,"Black/orange. Can BURROW: deploy anywhere, ambush."
SER_CON_SOLDIERS,Constrictai Soldiers,SERPENTINE,SHIELD,TROOP,24,70,4,7,3,12,0,4,62,357,0,0,0,1.0,565,56,,Shield & Mace,None,#3C7A3C,#C8A22A,,,,,,,todo,Crushing grip: roots the unit it engages.
SER_VEN_SPITTERS,Venomari Spitters,SERPENTINE,SPITTER,TROOP,20,50,3,3,1,9,4,0,43,399,5,900,10,1.0,365,36,,Venom Vials,None,#3C7A3C,#C8A22A,,,,,,,todo,Green. Hits cause hallucination: target attacks randomly for 5s.
